issue,topic
10024,43
10025,42
10035,11
10037,5
10046,60
10052,18
10056,57
10075,8
10080,8
10084,18
10098,42
10101,61
10102,42
10110,42
10111,44
10115,57
10117,57
10119,34
10120,42
10124,42
10125,43
10129,44
10130,44
10151,25
10152,42
10153,42
10155,25
10157,25
10158,42
10160,25
10172,60
10173,37
10174,60
10180,60
10186,43
10194,42
10201,8
10208,43
10214,37
10219,60
10228,21
10232,42
10233,43
10236,21
10240,32
10241,43
10244,37
10259,42
10270,37
10275,42
10277,43
10285,21
10288,43
10296,42
10298,37
10299,37
10301,43
10309,25
10311,37
10317,46
10321,37
10325,25
10338,43
10339,50
10340,42
10341,42
10347,25
10349,37
10359,43
10361,42
10365,43
10368,43
10371,43
10373,60
10375,43
10382,43
10417,37
10419,43
10431,37
10440,47
10442,43
10449,58
10452,43
10456,43
10457,43
10462,43
10464,61
10465,43
10467,37
10469,42
10470,43
10471,37
10473,61
10484,37
10487,42
10489,42
10491,18
10497,44
10499,37
10501,44
10507,22
10512,42
10514,38
10515,5
10519,5
10526,30
10529,44
10532,42
10546,11
10559,11
10560,30
10562,30
10563,30
10564,2
10578,42
10595,60
10598,18
10612,43
10618,5
10624,42
10629,43
10631,48
10641,42
10645,5
10676,18
10679,18
10681,42
10687,56
10695,11
10720,30
10732,18
10741,27
10753,11
10758,42
10762,42
10763,22
10766,42
10792,42
10794,21
10796,61
10798,45
10809,15
10827,50
10828,42
10833,16
10841,16
10844,42
10850,38
10855,46
10859,43
10861,29
10871,60
10872,5
10875,9
10876,56
10880,16
10881,60
10883,43
10885,16
10889,56
10890,56
10892,42
10896,25
10898,42
10903,42
10906,42
10908,42
10916,42
10933,42
10951,47
10952,48
10962,43
10967,42
10973,46
10976,21
10979,42
11006,58
11007,43
11020,43
11021,44
11032,56
11038,42
11044,25
11048,46
11049,42
11061,47
11062,60
11065,43
11066,46
11067,43
11082,42
11090,43
11105,11
11112,48
11118,39
11121,46
11152,56
11154,43
11155,47
11172,42
11185,43
11198,42
11202,42
11206,60
11207,46
11233,54
11235,54
11238,37
11239,54
11240,54
11242,54
11244,54
11252,54
11254,54
11255,54
11257,54
11258,54
11259,54
11264,54
11271,54
11273,54
11274,54
11285,54
11290,37
11293,54
11296,37
11301,54
11311,54
11321,54
11326,54
11327,54
11328,54
11329,54
11330,54
11331,54
11333,54
11334,37
11336,54
11338,54
11342,54
11343,54
11345,54
11350,54
11352,54
11357,54
11359,54
11363,54
11366,54
11368,54
11377,54
11378,54
11382,54
11387,54
11388,0
11399,54
11404,54
11405,44
11413,54
11416,54
11417,54
11422,54
11424,54
11425,54
11426,54
11427,54
11431,54
11450,11
11454,54
11460,54
11464,58
11468,58
11470,25
11472,42
11474,42
11478,42
11485,47
11490,42
11491,42
11510,42
11511,25
11514,42
11515,42
11516,60
11521,57
11522,42
11526,21
11528,57
11534,42
11535,59
11540,47
11543,25
11547,0
11553,42
11556,57
11573,49
11576,42
11581,5
11582,18
11585,33
11586,42
11589,48
11601,61
11619,39
11625,39
11629,5
11631,5
11636,39
11637,39
11639,43
11640,39
11641,60
11642,18
11644,39
11645,39
11655,42
11658,60
11664,60
11666,39
11668,39
11670,42
11674,39
11675,39
11683,39
11684,5
11691,39
11693,42
11699,56
11701,60
11755,17
11760,57
11761,60
11762,43
11773,60
11789,60
11791,0
11796,42
11797,44
11801,17
11802,25
11808,42
11814,46
11824,25
11826,46
11834,60
11835,42
11837,17
11839,42
11844,43
11845,0
11847,42
11852,46
11854,60
11855,46
11856,60
11863,17
11868,60
11871,42
11906,46
11908,58
11911,60
11915,43
11920,42
11926,1
11927,42
11929,1
11931,60
11932,1
11935,42
11937,1
11938,61
11941,61
11943,61
11947,44
11948,42
11951,61
11952,43
11955,56
11956,5
11957,60
11958,60
11959,61
11961,5
11962,60
11964,42
11968,42
11970,1
11972,1
11976,61
11977,38
11981,15
11984,61
11985,1
11986,0
11987,61
11989,61
11996,5
11997,44
11999,42
12008,60
12009,8
12011,8
12014,8
12016,50
12017,42
12019,18
12022,8
12023,11
12024,8
12027,43
12029,60
12030,8
12031,8
12032,8
12034,11
12037,43
12041,8
12043,42
12046,17
12047,48
12050,8
12075,42
12103,60
12104,42
12105,22
12106,42
12107,60
12113,46
12122,18
12128,43
12130,61
12132,44
12137,42
12145,60
12151,60
12155,8
12158,42
12160,43
12172,42
12178,43
12183,42
12196,43
12217,57
12220,38
12223,42
12224,43
12225,42
12226,42
12229,38
12230,38
12233,42
12235,38
12236,38
12237,60
12238,61
12239,38
12240,43
12242,42
12243,43
12245,14
12255,47
12256,58
12257,42
12260,42
12262,43
12265,9
12266,38
12267,38
12269,42
12270,38
12271,47
12274,42
12280,0
12281,9
12289,61
12290,42
12303,10
12306,38
12313,18
12319,43
12324,42
12327,38
12328,38
12337,38
12338,42
12345,43
12350,38
12352,38
12354,58
12364,42
12366,42
12369,47
12377,38
12381,38
12383,18
12385,38
12386,42
12388,57
12402,42
12404,38
12406,42
12407,38
12411,43
12413,61
12414,10
12415,38
12416,47
12419,47
12421,38
12423,43
12425,42
12429,43
12430,43
12435,9
12436,44
12439,42
12441,42
12443,38
12444,38
12446,42
12451,47
12452,42
12456,42
12468,38
12471,43
12478,38
12481,42
12495,42
12505,42
12514,60
12516,61
12524,38
12525,38
12526,42
12538,42
12552,48
12553,44
12554,60
12559,43
12563,39
12564,42
12567,39
12572,39
12590,42
12600,61
12630,42
12638,42
12639,43
12640,43
12641,23
12644,60
12646,42
12647,42
12648,42
12650,43
12654,42
12655,42
12656,8
12657,42
12659,42
12665,42
12666,8
12672,60
12673,60
12674,56
12676,61
12681,42
12682,56
12685,60
12688,60
12691,46
12696,42
12700,57
12706,18
12709,56
12712,17
12713,17
12714,57
12718,42
12721,17
12727,43
12728,42
12731,17
12733,60
12735,60
12737,60
12747,57
12752,42
12756,17
12757,17
12766,60
12771,42
12785,56
12786,57
12797,18
12802,56
12804,13
12805,42
12806,42
12808,13
12810,13
12811,60
12813,60
12818,30
12819,25
12820,49
12826,42
12829,25
12831,25
12832,60
12833,49
12834,13
12835,42
12841,13
12842,51
12845,18
12847,60
12848,51
12851,13
12853,42
12857,13
12859,38
12864,42
12865,60
12866,5
12869,46
12870,42
12873,38
12874,44
12884,42
12896,42
12897,56
12898,5
12900,60
12901,5
12903,42
12905,60
12907,44
12908,43
12922,60
12923,39
12924,60
12934,8
12937,9
12939,40
12940,51
12948,14
12950,43
12952,60
12953,43
12957,8
12964,8
12965,42
12968,42
12971,25
12974,42
12984,42
12989,28
12991,18
12992,16
12993,9
12995,9
12997,16
13001,16
13002,16
13005,16
13006,14
13017,16
13026,5
13035,42
13042,22
13047,13
13053,42
13054,42
13138,8
13139,1
13140,8
13142,8
13145,48
13149,11
13150,8
13151,11
13152,39
13154,11
13159,42
13161,11
13166,8
13167,42
13169,22
13171,30
13176,43
13180,56
13181,42
13183,61
13187,61
13190,42
13201,42
13209,44
13217,7
13220,20
13236,18
13239,38
13251,5
13253,44
13264,42
13270,11
13272,42
13278,43
13283,42
13286,18
13291,43
13293,11
13303,60
13307,41
13310,60
13312,59
13315,51
13317,9
13320,42
13322,42
13323,57
13324,5
13325,57
13326,60
13327,9
13329,5
13330,9
13331,57
13332,42
13333,57
13334,57
13335,57
13336,9
13343,60
13357,42
13373,56
13374,42
13380,42
13381,42
13383,21
13391,61
13392,61
13404,42
13406,58
13410,18
13414,38
13415,42
13416,29
13419,38
13420,9
13422,38
13423,42
13426,51
13428,61
13433,57
13434,42
13439,18
13458,13
13462,34
13466,20
13484,43
13490,13
13492,5
13509,52
13528,20
13540,43
13544,20
13545,20
13547,20
13554,20
13560,42
13564,20
13567,43
13584,17
13586,20
13588,20
13590,43
13591,56
13593,42
13596,43
13600,43
13612,56
13614,20
13619,20
13623,20
13641,18
13642,20
13643,56
13656,42
13666,11
13674,11
13675,60
13678,61
13682,5
13683,11
13684,43
13688,44
13689,44
13691,11
13696,44
13699,42
13700,42
13705,42
13709,42
13710,60
13731,61
13735,18
13755,61
13760,22
13761,22
13762,61
13763,18
13768,61
13779,42
13787,61
13791,42
13796,60
13799,6
13801,6
13804,56
13810,42
13816,27
13818,60
13820,56
13823,60
13833,44
13835,17
13841,17
13842,43
13844,17
13845,42
13846,43
13847,57
13849,60
13855,17
13856,17
13865,17
13867,43
13876,18
13884,43
13891,17
13892,17
13900,42
13902,17
13904,56
13908,42
13909,60
13910,17
13911,17
13912,43
13914,17
13919,42
13926,50
13933,17
13935,42
13936,17
13938,17
13956,60
13961,17
13962,42
13963,17
13965,50
13968,43
13969,50
13974,42
13982,56
13983,43
13989,61
13991,61
14010,50
14019,50
14026,50
14070,25
14076,20
14081,5
14085,5
14097,5
14098,20
14099,25
14100,20
14103,22
14105,20
14108,25
14110,43
14115,5
14117,20
14125,13
14126,20
14127,61
14129,25
14131,5
14133,25
14137,42
14138,13
14143,5
14145,5
14146,56
14148,42
14149,13
14151,42
14153,42
14156,5
14158,42
14162,20
14164,20
14165,5
14166,20
14168,20
14169,42
14170,25
14174,60
14175,18
14176,20
14179,61
14180,20
14182,20
14184,25
14185,60
14187,42
14188,22
14190,20
14192,25
14194,60
14195,60
14196,13
14199,11
14200,8
14201,8
14202,42
14203,11
14204,48
14205,60
14206,5
14209,50
14214,60
14216,60
14221,49
14222,49
14223,49
14226,49
14228,49
14229,49
14232,49
14234,60
14237,49
14238,60
14239,49
14240,49
14244,57
14245,57
14246,49
14249,49
14250,49
14251,25
14252,49
14254,49
14257,49
14259,49
14269,57
14272,49
14274,60
14276,60
14282,43
14283,60
14288,60
14289,50
14290,44
14291,42
14292,18
14293,44
14296,44
14299,44
14302,44
14307,44
14310,42
14317,44
14318,25
14319,43
14320,42
14321,25
14324,42
14326,43
14327,42
14328,42
14329,42
14330,42
14335,61
14338,42
14340,44
14356,43
14357,61
14358,41
14390,1
14392,43
14404,42
14413,43
14418,44
14429,43
14430,42
14431,42
14438,43
14444,42
14451,60
14453,42
14454,61
14455,42
14457,56
14460,42
14462,42
14463,60
14464,61
14466,57
14477,25
14478,61
14482,25
14483,25
14485,42
14487,20
14488,42
14496,5
14498,60
14505,24
14506,5
14508,60
14511,43
14513,60
14514,56
14519,43
14521,49
14522,42
14524,60
14527,49
14538,42
14561,42
14564,43
14565,42
14566,17
14585,33
14597,44
14598,56
14601,42
14617,61
14618,5
14620,42
14626,43
14628,43
14638,39
14643,56
14645,42
14646,39
14647,42
14648,43
14650,60
14655,39
14656,42
14658,39
14662,39
14677,22
14679,17
14685,56
14691,48
14694,56
14695,42
14697,39
14701,39
14715,39
14717,39
14732,37
14736,25
14740,42
14749,56
14752,25
14758,41
14764,42
14771,21
14772,42
14776,21
14777,25
14778,42
14780,60
14781,58
14782,61
14783,37
14784,60
14785,47
14786,42
14787,57
14792,60
14793,48
14801,60
14802,60
14810,60
14812,60
14814,42
14815,60
14816,60
14818,42
14819,43
14820,42
14822,42
14825,60
14826,43
14828,42
14830,42
14833,61
14839,42
14840,42
14844,42
14845,60
14849,39
14893,58
14909,37
14911,42
14912,35
14916,35
14919,56
14925,44
14927,0
14928,42
14933,25
14950,16
14963,16
14972,42
14988,16
14990,16
15006,16
15011,16
15015,16
15019,16
15021,16
15022,16
15027,16
15029,16
15035,16
15037,16
15061,16
15067,16
15085,16
15086,16
15101,16
15107,16
15112,42
15131,16
15141,16
15143,16
15145,21
15148,60
15161,18
15162,60
15165,42
15166,10
15167,43
15172,43
15175,43
15178,42
15186,18
15195,42
15197,42
15198,42
15200,25
15201,56
15205,43
15211,9
15214,10
15237,21
15240,42
15245,42
15247,43
15249,46
15250,46
15251,42
15255,44
15259,42
15262,11
15266,42
15270,42
15274,58
15277,60
15281,42
15288,46
15290,46
15291,46
15295,43
15307,58
15311,42
15312,42
15317,43
15318,46
15320,42
15322,42
15326,42
15328,46
15331,5
15332,42
15337,46
15350,60
15359,42
15360,60
15361,5
15364,39
15365,42
15366,60
15370,39
15375,20
15377,39
15387,18
15395,42
15404,56
15408,60
15409,44
15411,42
15412,56
15414,25
15415,25
15416,42
15418,39
15422,43
15440,42
15455,42
15456,42
15459,42
15461,11
15463,21
15464,3
15471,0
15472,5
15473,5
15488,5
15494,43
15495,60
15501,60
15507,42
15517,42
15518,42
15520,27
15521,60
15523,27
15524,56
15525,60
15529,42
15530,42
15533,61
15539,42
15540,18
15546,60
15548,5
15549,60
15551,42
15560,43
15568,46
15573,43
15576,42
15580,60
15581,42
15583,42
15586,17
15596,60
15605,42
15608,35
15610,60
15611,42
15636,56
15639,48
15647,60
15649,42
15650,42
15654,46
15657,11
15661,48
15668,44
15671,42
15672,60
15678,46
15679,42
15685,60
15688,48
15689,60
15695,43
15703,44
15723,49
15724,42
15726,5
15728,5
15729,42
15732,43
15735,59
15740,42
15746,13
15750,61
15760,60
15762,60
15763,46
15771,13
15772,42
15775,42
15778,42
15786,42
15787,43
15788,42
15789,61
15790,42
15794,42
15796,43
15801,61
15806,61
15815,61
15816,61
15817,61
15819,46
15830,60
15831,42
15841,61
15849,56
15850,37
15851,37
15868,42
15871,42
15876,46
15877,42
15879,43
15885,42
15891,22
15892,22
15894,42
15895,18
15896,46
15901,44
15918,28
15928,40
15930,33
15932,42
15939,60
15943,61
15945,61
15947,42
15951,42
15953,43
15957,60
15958,60
15962,25
15963,61
15964,25
15965,1
15966,1
15967,1
15968,1
15969,1
15970,1
15972,1
15973,1
15975,1
15978,1
15979,1
15980,1
15981,1
15982,1
15984,1
15985,1
15987,1
15992,60
15993,1
15994,1
15996,1
15997,1
15998,1
16001,1
16003,1
16004,1
16005,1
16006,1
16009,1
16010,1
16012,58
16015,43
16016,1
16017,1
16018,35
16019,1
16020,1
16021,1
16022,1
16023,1
16025,42
16026,1
16027,1
16028,1
16029,1
16030,1
16031,1
16032,1
16033,1
16034,42
16035,1
16036,1
16038,1
16040,1
16041,1
16042,1
16043,1
16044,56
16045,1
16046,1
16047,1
16049,1
16050,1
16051,1
16052,1
16053,1
16054,1
16055,1
16056,1
16058,1
16060,1
16061,1
16062,1
16065,1
16066,1
16067,1
16068,60
16069,1
16070,1
16071,1
16072,1
16073,1
16076,1
16077,1
16080,1
16081,1
16082,1
16083,29
16084,42
16085,1
16088,1
16091,1
16092,1
16093,1
16094,1
16096,1
16097,1
16098,1
16099,1
16100,1
16101,1
16102,1
16103,1
16104,1
16105,1
16106,1
16107,1
16109,1
16110,1
16111,1
16112,1
16113,1
16114,1
16115,42
16116,1
16118,60
16119,1
16120,1
16122,1
16123,42
16125,1
16126,60
16127,1
16128,1
16130,1
16131,1
16133,1
16136,9
16139,1
16140,1
16141,1
16143,1
16144,38
16145,1
16148,1
16149,1
16150,42
16152,1
16153,1
16154,1
16155,42
16157,43
16159,42
16161,1
16162,1
16163,25
16164,1
16165,1
16166,1
16167,1
16169,1
16170,1
16171,1
16173,1
16175,42
16177,42
16178,1
16179,1
16183,60
16185,1
16187,1
16188,1
16190,1
16191,60
16192,1
16193,1
16194,42
16196,1
16197,1
16198,1
16203,42
16207,1
16208,1
16209,42
16210,1
16218,1
16220,42
16224,1
16225,1
16226,35
16227,33
16228,42
16229,1
16230,42
16231,42
16236,1
16237,1
16238,1
16240,56
16241,1
16245,1
16247,1
16253,1
16254,1
16255,1
16256,42
16257,42
16258,1
16259,42
16260,43
16261,1
16262,42
16263,1
16264,1
16265,1
16267,1
16268,38
16272,42
16273,57
16274,35
16276,1
16277,33
16279,1
16280,13
16281,42
16282,1
16284,1
16285,1
16286,1
16287,1
16292,35
16298,42
16299,42
16300,1
16301,42
16303,1
16304,1
16307,35
16308,24
16309,1
16310,25
16311,1
16312,57
16314,35
16315,1
16316,60
16317,43
16318,42
16319,57
16320,35
16321,35
16323,35
16324,2
16326,42
16327,4
16328,0
16329,42
16330,29
16331,35
16332,42
16333,35
16334,5
16335,1
16336,42
16337,1
16338,1
16339,33
16341,1
16345,1
16346,1
16348,42
16349,60
16355,15
16356,15
16357,15
16359,61
16361,15
16362,43
16369,42
16370,15
16371,42
16373,61
16377,28
16382,42
16387,15
16388,15
16389,61
16390,15
16398,61
16402,51
16404,61
16406,60
16408,60
16409,61
16416,42
16420,42
16431,10
16444,61
16447,42
16450,56
16452,56
16454,13
16459,47
16462,56
16464,42
16465,13
16466,61
16467,37
16469,42
16473,60
16474,6
16476,56
16482,43
16488,47
16493,42
16504,42
16510,7
16512,7
16515,43
16516,42
16519,56
16522,43
16530,42
16570,61
16572,43
16595,42
16596,60
16611,42
16616,47
16639,0
16645,0
16655,0
16659,0
16660,0
16663,0
16666,0
16669,0
16670,0
16671,0
16672,0
16673,42
16674,25
16675,0
16677,0
16679,0
16681,0
16683,0
16689,0
16693,43
16694,0
16695,25
16696,0
16699,42
16700,0
16704,0
16710,0
16712,0
16714,0
16718,0
16720,0
16722,0
16724,42
16725,0
16726,0
16729,43
16731,0
16733,61
16734,42
16737,56
16738,0
16744,0
16747,0
16750,0
16754,0
16755,0
16756,0
16759,61
16760,0
16761,0
16767,0
16769,42
16772,0
16778,0
16781,42
16783,0
16784,25
16797,56
16800,0
16801,42
16803,42
16804,0
16805,0
16806,0
16808,0
16810,42
16813,0
16815,25
16816,0
16818,0
16822,42
16823,42
16824,0
16827,42
16828,0
16830,25
16834,0
16842,0
16844,0
16845,42
16848,42
16850,61
16852,0
16853,25
16856,0
16858,0
16859,42
16863,0
16865,61
16866,0
16869,42
16873,0
16877,56
16879,25
16880,0
16882,25
16894,61
16900,39
16910,56
16913,44
16916,42
16918,42
16941,34
16947,25
16950,42
16951,47
16954,42
16961,60
16970,42
16971,43
16972,42
16979,42
16983,42
16985,60
16986,60
16990,43
16993,60
16998,27
16999,60
17005,49
17006,49
17009,43
17011,43
17013,61
17025,42
17028,18
17029,44
17032,46
17035,44
17037,50
17043,42
17047,42
17050,44
17054,5
17056,5
17058,42
17060,46
17064,27
17070,60
17071,38
17075,46
17076,46
17077,60
17079,42
17081,60
17088,33
17089,61
17092,43
17107,61
17109,42
17110,43
17111,43
17113,42
17119,18
17123,32
17124,61
17150,1
17156,42
17157,24
17161,24
17167,60
17172,43
17178,42
17180,60
17181,24
17185,60
17192,42
17193,60
17194,24
17196,24
17200,60
17203,24
17208,60
17210,42
17215,24
17222,60
17225,17
17227,0
17228,17
17229,42
17231,60
17236,19
17237,60
17238,9
17239,14
17240,57
17241,42
17242,9
17243,55
17245,56
17246,14
17248,57
17250,3
17253,8
17254,42
17265,21
17267,42
17272,42
17273,60
17274,18
17276,60
17277,42
17282,42
17284,42
17299,60
17301,51
17306,29
17311,42
17314,60
17315,42
17316,25
17318,51
17329,47
17331,60
17334,42
17335,42
17339,51
17341,42
17343,42
17360,61
17364,56
17367,42
17370,61
17371,0
17372,47
17377,42
17384,57
17387,42
17389,42
17393,42
17396,22
17397,61
17399,42
17401,42
17402,58
17406,22
17408,57
17409,22
17412,42
17437,22
17441,61
17445,61
17448,60
17449,60
17451,56
17453,56
17455,42
17456,22
17458,42
17464,22
17466,61
17467,5
17475,15
17476,22
17478,42
17480,48
17484,42
17485,27
17487,27
17488,17
17492,60
17496,60
17498,29
17500,17
17501,42
17507,42
17509,50
17511,60
17516,57
17524,57
17525,8
17526,34
17603,2
17606,2
17611,2
17622,11
17623,42
17631,2
17656,2
17659,54
17679,42
17684,2
17689,42
17694,11
17698,2
17718,7
17720,2
17721,42
17725,2
17727,55
17737,55
17751,2
17755,42
17756,54
17758,30
17765,42
17808,42
17834,60
17836,43
17843,42
17846,43
17847,56
17848,60
17849,42
17853,42
17862,61
17864,2
17876,2
17877,42
17879,2
17882,48
17890,42
17892,50
17902,44
17904,11
17909,43
17914,11
17918,42
17926,48
17930,2
17933,2
17935,11
17952,48
17954,48
17981,60
17988,42
17999,11
18002,48
18003,60
18004,11
18005,60
18006,42
18011,42
18027,60
18039,60
18040,5
18043,25
18047,42
18050,61
18055,57
18060,43
18065,42
18066,60
18071,43
18074,34
18076,44
18081,6
18082,43
18089,60
18090,37
18091,44
18093,60
18100,61
18103,42
18107,5
18110,0
18111,0
18115,34
18119,5
18129,2
18142,9
18145,33
18148,60
18152,62
18153,38
18160,60
18162,43
18166,18
18171,3
18174,60
18180,60
18185,3
18188,60
18189,3
18196,3
18205,42
18207,42
18208,3
18209,42
18210,60
18215,43
18218,3
18223,3
18224,42
18225,3
18228,3
18229,3
18231,43
18232,48
18233,60
18235,60
18236,25
18237,60
18245,42
18248,3
18261,11
18262,60
18282,60
18283,34
18293,42
18295,42
18299,42
18305,56
18319,56
18329,42
18340,42
18342,60
18343,29
18353,6
18357,42
18363,18
18365,37
18366,56
18413,42
18471,39
18482,18
18490,42
18492,56
18493,56
18494,11
18532,39
18570,43
18574,51
18577,42
18581,21
18582,42
18585,39
18587,21
18589,51
18591,42
18595,51
18597,42
18599,51
18602,51
18605,47
18608,42
18614,61
18615,47
18616,42
18620,42
18623,43
18624,0
18633,56
18635,21
18637,47
18638,47
18640,61
18641,42
18646,43
18650,42
18651,47
18655,21
18657,25
18662,42
18670,42
18673,21
18674,51
18675,42
18677,42
18679,61
18680,51
18682,43
18684,51
18688,54
18690,43
18692,61
18694,42
18695,51
18699,47
18701,21
18708,47
18713,60
18725,51
18732,41
18734,8
18735,8
18739,8
18740,42
18742,5
18744,8
18753,25
18755,5
18757,60
18761,11
18763,25
18764,25
18765,18
18766,42
18767,10
18768,25
18771,25
18772,42
18773,42
18774,60
18776,25
18777,42
18778,42
18779,13
18782,25
18784,25
18786,25
18787,43
18788,42
18791,25
18793,56
18798,25
18800,60
18805,43
18810,42
18815,25
18816,42
18818,25
18819,56
18821,42
18823,42
18824,25
18834,25
18839,25
18841,60
18842,42
18844,60
18847,25
18848,42
18849,42
18850,60
18851,37
18853,60
18857,43
18861,57
18864,39
18865,23
18866,43
18873,57
18874,60
18876,6
18877,42
18880,5
18881,60
18882,42
18884,6
18887,57
18888,60
18889,60
18890,39
18892,42
18894,60
18895,44
18899,57
18900,42
18905,42
18907,57
18908,42
18912,6
18913,42
18915,57
18917,60
18919,60
18920,42
18921,60
18922,60
18923,42
18927,5
18928,57
18929,57
18931,42
18933,6
18934,42
18941,42
18942,56
18944,5
18946,5
18947,5
18948,5
18954,42
18955,42
18956,60
18958,43
18959,42
18960,42
18961,42
18962,42
18968,5
18969,56
18974,42
18977,5
18978,5
18980,58
18983,5
18986,8
18987,5
18988,42
18989,25
18990,5
18991,5
18992,5
18994,57
18996,5
18997,42
19001,5
19002,42
19004,61
19008,42
19012,5
19020,22
19022,56
19028,5
19030,42
19034,56
19035,42
19036,42
19037,42
19039,56
19044,5
19045,42
19053,56
19055,42
19061,42
19062,5
19064,42
19065,56
19066,42
19073,25
19075,42
19076,42
19078,60
19080,5
19082,5
19102,15
19104,60
19109,56
19111,57
19115,42
19117,61
19118,56
19123,61
19124,60
19128,49
19141,5
19144,13
19146,5
19147,61
19150,5
19155,42
19158,42
19160,61
19161,42
19167,13
19170,42
19175,42
19176,42
19180,29
19181,42
19184,49
19191,61
19192,39
19201,42
19203,42
19205,61
19213,43
19216,61
19259,25
19265,60
19266,60
19270,39
19274,42
19277,9
19280,42
19281,42
19287,60
19293,58
19294,34
19295,42
19298,61
19300,43
19302,58
19303,21
19305,60
19315,53
19318,42
19321,34
19323,38
19325,47
19327,34
19332,42
19333,43
19337,47
19342,42
19343,10
19344,42
19350,34
19355,43
19356,43
19364,42
19365,42
19368,42
19369,47
19374,42
19375,43
19377,43
19404,42
19406,46
19410,4
19412,18
19422,18
19427,42
19428,42
19431,43
19434,18
19440,48
19441,18
19442,11
19447,18
19448,42
19456,18
19460,18
19462,42
19467,34
19477,32
19482,43
19483,21
19495,5
19512,60
19513,20
19518,61
19519,42
19528,50
19533,51
19537,58
19540,18
19541,42
19543,27
19547,56
19548,14
19553,61
19561,23
19564,29
19565,58
19566,13
19568,13
19572,47
19573,47
19576,29
19586,25
19589,29
19594,42
19597,25
19598,58
19599,42
19602,58
19604,47
19612,29
19613,13
19617,23
19620,42
19625,25
19628,42
19637,42
19639,47
19643,43
19644,42
19646,42
19656,29
19657,42
19658,58
19659,58
19663,58
19666,58
19668,29
19675,13
19676,58
19682,42
19685,58
19696,29
19708,42
19724,42
19730,58
19731,47
19732,29
19738,42
19742,46
19744,47
19747,47
19753,29
19768,57
19771,42
19774,47
19781,42
19782,58
19785,47
19788,25
19791,29
19793,42
19794,29
19796,25
19798,29
19799,37
19800,37
19825,29
19828,47
19831,29
19836,29
19839,25
19842,58
19845,42
19852,47
19853,13
19861,58
19862,29
19863,29
19864,25
19874,29
19876,58
19879,47
19882,58
19886,13
19887,42
19889,58
19891,42
19893,58
19897,42
19900,37
19903,18
19909,47
19918,47
19920,47
19923,58
19924,29
19931,23
19933,0
19934,42
19941,58
19947,29
19949,58
19951,25
19954,29
19955,42
19956,47
19959,37
19968,58
19975,29
19988,29
19991,42
19992,42
19996,29
19998,29
20002,25
20008,58
20012,29
20014,29
20015,47
20020,37
20021,58
20031,47
20032,37
20036,29
20038,3
20039,42
20040,29
20041,47
20044,57
20057,58
20058,29
20059,29
20062,58
20064,29
20068,29
20069,58
20070,29
20071,29
20075,58
20076,29
20077,47
20078,58
20081,58
20089,47
20105,42
20113,3
20117,58
20122,42
20124,42
20131,29
20135,47
20136,13
20142,47
20148,47
20150,47
20151,47
20156,13
20157,47
20162,29
20163,29
20164,47
20167,29
20168,29
20170,47
20185,29
20187,29
20189,29
20197,47
20199,29
20206,43
20209,58
20215,47
20219,57
20229,47
20234,42
20239,47
20254,29
20257,42
20259,58
20261,43
20266,47
20274,32
20277,13
20281,42
20282,42
20286,42
20287,13
20298,42
20308,58
20310,29
20314,13
20315,29
20316,29
20317,29
20318,58
20319,42
20326,58
20328,58
20330,58
20331,29
20332,46
20334,58
20335,29
20336,29
20337,57
20344,42
20352,29
20358,29
20363,29
20372,58
20373,47
20374,42
20377,42
20381,42
20384,42
20392,47
20396,34
20397,42
20398,57
20399,29
20401,58
20413,13
20414,47
20419,23
20421,29
20422,47
20423,47
20426,13
20442,42
20451,29
20458,58
20473,35
20483,23
20490,58
20497,58
20499,58
20502,47
20503,25
20505,42
20507,58
20509,42
20514,58
20520,43
20522,29
20523,47
20524,29
20525,58
20528,29
20530,37
20532,29
20535,43
20536,29
20540,29
20548,47
20550,58
20551,25
20557,58
20573,42
20574,29
20578,29
20587,29
20605,57
20606,29
20609,58
20615,58
20616,42
20624,25
20635,29
20640,25
20650,58
20651,0
20654,25
20655,42
20667,29
20674,42
20681,29
20685,29
20687,42
20696,58
20701,56
20702,60
20705,29
20708,47
20717,37
20718,58
20720,42
20724,29
20728,57
20731,42
20732,25
20734,42
20742,29
20749,42
20753,42
20757,47
20758,13
20761,29
20771,3
20773,47
20774,58
20783,58
20787,56
20788,29
20789,29
20802,29
20811,29
20813,57
20817,37
20823,42
20830,23
20839,47
20844,20
20846,29
20847,42
20861,58
20862,29
20865,42
20866,13
20873,29
20876,58
20877,42
20896,58
20904,34
20906,25
20927,58
20928,58
20930,58
20935,58
20943,29
20944,42
20945,42
20948,42
20964,47
20965,29
20969,58
20974,42
20977,47
20980,29
20984,58
20992,47
20993,43
20998,29
21004,42
21009,58
21013,25
21016,29
21020,29
21023,29
21036,23
21040,42
21044,43
21047,58
21054,13
21057,13
21058,29
21060,58
21061,37
21063,58
21065,58
21067,42
21072,13
21078,23
21082,29
21093,58
21101,47
21102,13
21105,58
21106,34
21112,58
21130,58
21143,47
21150,29
21156,29
21158,58
21159,29
21166,58
21167,58
21169,42
21170,13
21174,42
21176,58
21191,47
21192,29
21193,47
21195,47
21196,58
21197,58
21200,47
21205,42
21209,60
21212,47
21228,25
21231,13
21235,42
21239,29
21243,29
21244,13
21256,5
21267,42
21275,58
21277,29
21282,58
21284,13
21294,58
21296,29
21297,29
21299,13
