issue,topic
2881,51
2884,43
2887,60
2889,5
2890,28
2892,51
2894,43
2896,10
2899,28
2903,10
2907,42
2908,60
2912,28
2913,43
2914,43
2915,42
2921,42
2923,10
2928,28
2933,10
2940,10
2944,10
2948,28
2951,10
2952,18
2956,42
2959,8
2963,42
2964,18
2966,42
2967,42
2975,11
2978,42
2991,42
2993,18
2994,48
2996,48
3004,15
3005,22
3006,15
3012,42
3016,42
3018,43
3020,22
3032,42
3035,42
3043,43
3047,17
3053,42
3061,42
3063,60
3064,50
3073,50
3076,60
3077,42
3085,42
3091,11
3094,42
3099,18
3107,60
3108,42
3111,60
3116,42
3119,62
3121,42
3135,42
3139,42
3143,42
3144,61
3146,25
3160,57
3166,42
3167,25
3172,43
3175,56
3177,42
3184,25
3188,61
3189,25
3198,60
3203,42
3204,42
3207,60
3211,14
3216,43
3218,60
3222,9
3229,60
3233,38
3235,38
3237,42
3238,56
3240,14
3241,60
3245,14
3246,56
3248,57
3249,61
3250,42
3251,60
3253,60
3267,60
3268,60
3269,9
3271,56
3283,0
3308,42
3312,42
3315,61
3320,42
3330,18
3333,18
3335,18
3342,18
3343,18
3344,38
3348,46
3361,42
3364,18
3365,43
3366,38
3376,42
3378,43
3384,42
3390,42
3394,49
3398,49
3402,43
3404,60
3406,42
3409,41
3410,42
3414,43
3416,43
3422,49
3423,42
3425,60
3427,42
3435,45
3440,5
3443,43
3444,5
3447,42
3452,43
3456,5
3458,43
3459,43
3463,44
3465,49
3468,42
3472,56
3476,43
3478,61
3487,43
3489,43
3490,60
3528,17
3529,42
3530,42
3540,17
3543,30
3558,42
3560,27
3566,42
3580,43
3590,18
3592,60
3612,43
3613,18
3620,61
3632,14
3635,60
3637,61
3644,1
3649,57
3650,42
3655,0
3656,43
3664,60
3671,43
3685,42
3690,30
3693,48
3694,18
3716,43
3720,42
3721,48
3729,18
3732,18
3735,44
3753,18
3755,18
3772,43
3774,18
3778,18
3781,10
3784,43
3785,44
3786,18
3789,18
3791,18
3800,18
3802,18
3804,11
3806,18
3807,18
3812,18
3816,44
3818,43
3820,18
3827,18
3832,60
3837,42
3844,42
3846,18
3848,42
3850,11
3853,42
3858,42
3863,18
3868,18
3879,44
3889,43
3896,48
3903,18
3918,42
3925,60
3927,29
3928,43
3933,61
3934,43
3935,42
3940,42
3943,29
3944,61
3945,56
3946,42
3954,43
3957,25
3961,29
3963,57
3974,57
3975,28
3985,42
3987,42
3991,57
3994,60
3995,11
3999,60
4000,42
4003,11
4005,8
4006,43
4008,42
4010,8
4011,43
4013,8
4016,42
4017,5
4018,0
4023,60
4025,14
4028,57
4029,42
4034,50
4035,42
4038,42
4052,48
4055,43
4060,48
4063,60
4067,60
4072,56
4074,60
4087,42
4093,60
4104,5
4107,42
4108,42
4109,42
4111,38
4112,61
4116,5
4122,56
4126,5
4127,61
4128,5
4129,60
4130,42
4132,21
4135,51
4138,5
4141,5
4143,60
4146,9
4149,42
4153,61
4161,42
4166,43
4167,42
4168,42
4169,42
4172,7
4174,22
4175,42
4177,42
4178,44
4180,11
4186,60
4188,8
4195,42
4196,60
4197,44
4201,11
4212,41
4215,56
4216,34
4219,41
4220,41
4221,41
4222,39
4224,42
4228,60
4231,41
4238,9
4241,39
4250,41
4258,42
4262,9
4264,60
4265,41
4266,60
4268,0
4269,14
4280,60
4283,41
4291,60
4292,42
4295,41
4303,18
4310,9
4318,60
4333,35
4335,42
4342,42
4347,48
4348,50
4362,42
4363,42
4378,17
4390,60
4395,37
4399,37
4461,43
4532,60
4546,5
4547,47
4618,48
4632,60
4634,42
4638,22
4640,46
4641,60
4642,22
4643,22
4644,60
4645,60
4646,61
4647,60
4648,42
4652,22
4653,42
4656,56
4662,44
4665,60
4667,42
4668,23
4669,26
4675,15
4677,22
4688,42
4689,44
4690,44
4695,18
4696,18
4697,44
4698,44
4702,44
4703,42
4707,44
4710,44
4712,43
4713,44
4714,44
4717,44
4718,50
4721,60
4723,44
4724,44
4731,60
4737,11
4740,44
4741,57
4747,42
4749,60
4751,42
4753,8
4757,8
4759,11
4761,42
4768,60
4772,42
4773,60
4774,11
4776,18
4778,60
4781,57
4782,48
4788,18
4790,11
4791,43
4798,9
4803,60
4810,42
4828,50
4833,42
4836,42
4840,48
4851,42
4853,42
4862,46
4864,22
4865,5
4869,0
4870,42
4878,18
4881,22
4884,60
4886,18
4888,60
4889,0
4890,60
4895,44
4906,42
4908,25
4909,42
4910,58
4913,60
4914,47
4915,46
4919,58
4920,42
4922,61
4924,60
4925,60
4932,42
4938,61
4944,5
4949,22
4957,42
4959,42
4961,4
4969,4
4970,61
4972,60
4975,46
4976,5
4981,42
4986,60
4990,42
4998,42
4999,7
5000,42
5001,57
5002,60
5015,43
5035,60
5036,5
5042,18
5044,49
5045,17
5046,38
5049,46
5052,18
5053,38
5061,38
5062,42
5063,38
5068,38
5069,18
5073,47
5076,42
5077,38
5082,18
5083,38
5084,18
5094,38
5100,42
5110,38
5112,38
5113,5
5115,38
5119,56
5120,60
5125,38
5139,42
5141,44
5142,38
5143,5
5145,42
5146,42
5147,42
5148,42
5150,42
5151,57
5152,5
5154,60
5157,42
5165,5
5166,60
5169,60
5171,42
5175,43
5176,60
5177,60
